DO,WT,pH,Tur,Cond,COD,NH,TP,TN,CHLa
14.61,40.55,12.76,45.78,664.27,5.25,0.06,0.05,1.05,12.35
13.42,39.39,12.61,46.56,668.67,4.79,0.05,0.05,0.99,10.2
13.04,36.86,12.47,44.96,671.2,4.82,0.05,0.06,1.11,10.16
13.74,37.41,12.52,40.98,672.48,4.86,0.05,0.06,1.1,8.65
14.9,38.05,12.66,41.82,671.31,5.28,0.05,0.06,1.11,10.23
15.57,39.48,12.78,45.61,671.9,5.37,0.05,0.06,1.04,23.18
15.51,41.3,12.87,48.4,668.07,5.09,0.05,0.06,1.01,67.45
14.38,42.94,12.79,75.44,676.17,5.41,0.06,0.08,1.11,36.4
13.39,43.14,12.72,60.47,680.39,5.15,0.06,0.08,1.02,19.03
13.07,42.65,12.66,44.68,683.63,5.06,0.05,0.06,0.88,10.32
12.75,42.12,12.66,43.49,687.03,5.63,0.05,0.06,0.9,11.48
12.89,42.61,12.58,47.81,684.57,5.81,0.05,0.06,0.92,10.51
13.22,43.34,12.55,51.94,679.71,7.03,0.06,0.08,0.81,11.53
12.73,42.97,12.54,59.7,671.14,7.08,0.06,0.08,0.92,7.11
11.59,40.99,12.25,69.63,663.95,8.07,0.14,0.09,0.98,8.25
11.47,39.7,12.06,86.76,645.81,5.49,0.2,0.09,1.31,8.02
11.29,39.88,11.96,84.45,637.39,5.38,0.23,0.11,1.45,7.29
12.32,41.56,12.09,67.62,649.1,4.93,0.2,0.11,0.85,9.03
13.83,43.75,12.4,34.8,650.29,4.56,0.11,0.08,0.59,15.45
14.88,43.84,12.58,30.88,648.23,4.64,0.06,0.06,0.82,16.58
13.97,42.11,12.51,47.64,648.75,4.85,0.05,0.06,0.85,22.78
12.51,39.97,12.29,71.77,664.76,5.08,0.09,0.09,1.01,12.78
12.57,39.48,12.29,73,662.26,4.86,0.11,0.09,0.99,12.72
13.24,40.53,12.31,105.99,665.85,5.29,0.11,0.11,1.04,13.73
13.94,42.35,12.46,71.86,668.44,4.96,0.08,0.08,1.14,11.67
13.08,43.54,12.38,88.91,662.63,5.2,0.09,0.08,1.11,16.41
12.41,43.94,12.41,145.94,646.33,6.74,0.11,0.11,1.22,27.13
12.34,43.13,12.35,128.94,635.93,7.02,0.12,0.12,1.25,27.18
14.44,44.33,12.81,71.42,635.16,6.12,0.08,0.09,1.1,26.43
14.17,44.88,12.75,56.9,646.54,5.84,0.05,0.08,0.81,22.16
12.22,44.38,12.46,79.25,649.09,5.44,0.06,0.09,0.99,23.81
11.73,44.53,12.37,135.42,644.85,5.69,0.11,0.11,0.95,23.91
12.7,45.05,12.52,96.94,633.26,5.73,0.11,0.11,0.92,8.01
12.08,45.69,12.51,116.78,636.43,6.07,0.09,0.11,0.96,4.44
11.25,45.31,12.22,171.3,632.98,6.6,0.15,0.14,0.99,2.75
11.15,44.59,11.99,239.71,635.12,6.77,0.21,0.17,1.02,1.65
11.06,44.76,11.85,275.49,647.21,7.14,0.34,0.18,1.05,1.49
11.71,45.29,12.05,208.67,639.97,6.41,0.26,0.17,0.99,1.62
12.17,46.6,12.23,134.32,638.14,5.78,0.15,0.12,1.04,0.85
12.02,47.08,12.18,126.21,644.59,5.4,0.15,0.12,0.69,0.63
11.44,46.6,12.11,171.61,649.13,5.64,0.17,0.14,0.61,0.5
11.97,46.45,12.25,168.01,655.31,6.08,0.2,0.15,0.67,0.67
12.55,46.25,12.38,145.32,680.26,6.68,0.15,0.14,0.81,15.43
12.96,45.37,12.58,139.19,673.44,6.6,0.14,0.14,0.7,14.37
11.41,43.68,12.34,161.33,677.82,6.41,0.14,0.14,0.69,10.57
8.95,43.49,11.59,88.3,741.42,8.51,0.66,0.14,1.63,11.67
11.1,42.88,11.67,89.81,625.98,8.8,0.67,0.14,1.72,13.54
13.83,44.41,12.14,99.08,619.26,8.45,0.63,0.12,1.77,16.94
14.06,45.12,12.17,93.68,607.91,9.71,0.49,0.11,1.83,21.06
12.08,44.06,12,129.78,614.13,8.71,0.47,0.12,1.57,13.92
12.35,44.32,12.43,117.41,640.67,6.53,0.15,0.12,0.79,89.29
13.98,45.46,12.63,117.76,619.04,6.86,0.14,0.12,0.67,19.28
14.46,46.04,12.7,115.35,596.66,9.26,0.15,0.12,1.83,17.42
12.58,45.4,12.55,81.95,615.35,6.37,0.12,0.11,0.66,12.84
12.28,45.52,12.57,72.51,630.02,5.93,0.12,0.09,0.55,11.1
12.37,44.84,12.66,102.05,612.27,6.92,0.12,0.11,0.66,13.76
11.7,43.86,12.32,133.25,607.35,6.89,0.17,0.12,0.72,13.95
11.51,43.36,12.08,80.81,585.62,7.21,0.15,0.11,1.02,21.08
14.18,44.41,12.61,99.69,601.89,7.29,0.14,0.11,0.79,16.99
12.73,44.41,12.47,83.36,594.16,7.67,0.11,0.11,0.9,17.4
13.16,45.31,12.51,109.04,598.24,6.82,0.14,0.09,0.82,20.37
15.65,47,12.84,70.94,602.82,7.09,0.12,0.09,0.75,21.23
16.23,47.93,12.99,91.47,602.88,7.11,0.11,0.08,0.4,23.85
15.91,48.94,13.04,50.11,605.61,7.29,0.09,0.08,0.61,18.24
13.62,48.75,13.02,49.75,612.65,5.34,0.05,0.08,0.41,16.36
12.29,48.05,12.76,59.32,613.28,5.35,0.06,0.08,1.07,24.29
12.06,47.72,12.75,89.69,617.91,5.38,0.06,0.09,1.27,22.25
12.52,47.53,12.83,52.61,623.01,5.19,0.05,0.09,0.96,22.81
12.76,47.98,12.87,52.06,627,5.2,0.05,0.09,0.98,22.95
13.28,49.36,12.98,41.19,627.26,5.26,0.05,0.08,0.72,18.15
13.45,50.39,13.04,45.37,632.92,5.54,0.06,0.08,0.85,18.59
12.79,50.43,13.02,49.62,634.34,5.6,0.06,0.08,0.87,21.43
12.38,49.59,13.01,51.42,636.02,5.49,0.06,0.09,0.87,32.3
12.28,49.3,12.99,54.95,636.73,5.64,0.08,0.09,0.81,30.96
12.73,49.47,13.05,53.41,637.95,5.69,0.08,0.09,0.98,23.55
14.53,50.75,13.15,30.23,636.69,5.63,0.05,0.08,0.75,16
11.91,48.63,12.96,50.19,641.46,6.04,0.09,0.09,0.92,24.99
13.27,47.58,13.1,36.58,629.32,6.25,0.06,0.08,0.93,27.15
14.27,47.63,13.27,49.35,620.89,6.5,0.06,0.08,0.95,26.9
14.66,47.56,13.27,92.32,617.06,6.86,0.08,0.08,0.99,30.18
12.08,46.67,12.92,84.9,610.21,7.3,0.14,0.12,1.14,31.74
12.55,46.63,12.49,71.35,614.16,6.92,0.2,0.11,1.25,25.09
13.44,46.6,12.66,70.21,586.79,7.69,0.14,0.11,1.39,25.03
16.18,46.07,12.87,84.18,584.06,7.34,0.09,0.09,1.25,46.25
